openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVolume,takerBuyQuoteVolume,ignore,openTime_dt,closeTime_dt,symbol,interval
1748217600000,0.7617,0.8094,0.6388,0.6802,233391764.8,1748822399999,171634042.32802,1212272,114090505.5,83913619.31923,0,2025-05-26,2025-06-01 23:59:59.999,CRVUSDT,1w
1748822400000,0.6801,0.7096,0.6025,0.6452,180982494.9,1749427199999,118499076.18998,789106,89493046.4,58604361.52731,0,2025-06-02,2025-06-08 23:59:59.999,CRVUSDT,1w
1749427200000,0.6452,0.7558,0.5585,0.5955,274973803.2,1750031999999,179179734.93714,1059872,135138753.5,88157559.76635,0,2025-06-09,2025-06-15 23:59:59.999,CRVUSDT,1w
1750032000000,0.5955,0.6478,0.5049,0.5371,296832511.8,1750636799999,171281065.8871,997436,145097161.3,83817094.1263,0,2025-06-16,2025-06-22 23:59:59.999,CRVUSDT,1w
1750636800000,0.5371,0.5937,0.49,0.5329,232105860.6,1751241599999,124029528.09626,673254,116226867.7,62183545.95301,0,2025-06-23,2025-06-29 23:59:59.999,CRVUSDT,1w
1751241600000,0.533,0.5499,0.4893,0.5009,183178833.5,1751846399999,94170920.93397,530277,90496061.8,46512055.65981,0,2025-06-30,2025-07-06 23:59:59.999,CRVUSDT,1w
1751846400000,0.5008,0.6785,0.4982,0.6533,250063803.0,1752451199999,148107006.6096,785170,126679914.6,74995303.61258,0,2025-07-07,2025-07-13 23:59:59.999,CRVUSDT,1w
1752451200000,0.6532,1.08,0.6501,0.9659,619532195.3,1753055999999,554505360.16276,3800413,306091355.0,274209036.16784,0,2025-07-14,2025-07-20 23:59:59.999,CRVUSDT,1w
1753056000000,0.9659,1.1626,0.9041,1.0241,532556078.7,1753660799999,535829963.65445,3738417,269281264.0,271275410.66056,0,2025-07-21,2025-07-27 23:59:59.999,CRVUSDT,1w
1753660800000,1.0241,1.071,0.8481,0.9096,351303171.2,1754265599999,341144903.93273,2450146,169966056.0,165250718.5484,0,2025-07-28,2025-08-03 23:59:59.999,CRVUSDT,1w
1754265600000,0.9095,1.0148,0.8719,0.9741,334554170.0,1754870399999,312859375.17975,2061637,167521882.7,156825345.49905,0,2025-08-04,2025-08-10 23:59:59.999,CRVUSDT,1w
1754870400000,0.9741,1.0628,0.8481,0.8786,321901252.8,1755475199999,306912059.10056,1930761,157533317.2,150255698.64231,0,2025-08-11,2025-08-17 23:59:59.999,CRVUSDT,1w
1755475200000,0.8787,0.943,0.8183,0.9126,273533624.4,1756079999999,239388586.77223,1525767,132241466.9,115792432.1419,0,2025-08-18,2025-08-24 23:59:59.999,CRVUSDT,1w
1756080000000,0.9127,0.917,0.7472,0.7571,179524016.1,1756684799999,143749809.59682,1020743,86617363.2,69318407.8849,0,2025-08-25,2025-08-31 23:59:59.999,CRVUSDT,1w
1756684800000,0.7571,0.7963,0.7175,0.7687,122769000.8,1757289599999,93450283.14801,649526,59496738.9,45297446.81724,0,2025-09-01,2025-09-07 23:59:59.999,CRVUSDT,1w
1757289600000,0.7685,0.8621,0.7582,0.7922,151220655.6,1757894399999,122105487.65387,725429,73944368.0,59713549.821,0,2025-09-08,2025-09-14 23:59:59.999,CRVUSDT,1w
1757894400000,0.792,0.8291,0.7147,0.7787,201562414.7,1758499199999,155007880.58882,872068,100876510.8,77606465.45803,0,2025-09-15,2025-09-21 23:59:59.999,CRVUSDT,1w
1758499200000,0.7787,0.7824,0.6282,0.705,206356185.9,1759103999999,140150411.5129,920588,102473790.0,69580340.59523,0,2025-09-22,2025-09-28 23:59:59.999,CRVUSDT,1w
1759104000000,0.7048,0.8055,0.6552,0.766,185561717.6,1759708799999,136572927.5314,896121,92611780.8,68190676.69159,0,2025-09-29,2025-10-05 23:59:59.999,CRVUSDT,1w
1759708800000,0.7661,0.8064,0.1805,0.5616,393720647.4,1760313599999,233835860.18701,1792950,193281778.8,114944565.36837,0,2025-10-06,2025-10-12 23:59:59.999,CRVUSDT,1w
1760313600000,0.5616,0.6421,0.4907,0.5533,384364135.3,1760918399999,215912773.44382,1915993,190171941.3,106872877.6168,0,2025-10-13,2025-10-19 23:59:59.999,CRVUSDT,1w
1760918400000,0.5532,0.5879,0.4996,0.579,193113393.7,1761523199999,104551253.49952,943456,96302598.6,52160152.52662,0,2025-10-20,2025-10-26 23:59:59.999,CRVUSDT,1w
1761523200000,0.579,0.5967,0.4563,0.4788,214677694.2,1762127999999,110412683.10212,925888,104737181.8,53839168.16929,0,2025-10-27,2025-11-02 23:59:59.999,CRVUSDT,1w
1762128000000,0.4787,0.5048,0.3885,0.4798,329545529.9,1762732799999,144804575.53789,1347678,164437332.0,72235629.68037,0,2025-11-03,2025-11-09 23:59:59.999,CRVUSDT,1w
1762732800000,0.4798,0.548,0.4085,0.4209,264985416.6,1763337599999,123647185.87904,1167898,132431060.7,61734473.41325,0,2025-11-10,2025-11-16 23:59:59.999,CRVUSDT,1w
1763337600000,0.4208,0.4535,0.364,0.3833,224926167.0,1763942399999,91395733.69959,772045,110198972.0,44778138.63376,0,2025-11-17,2025-11-23 23:59:59.999,CRVUSDT,1w
1763942400000,0.3832,0.4501,0.3789,0.4148,116449745.0,1764547199999,48776286.78954,366787,59285439.9,24816392.98951,0,2025-11-24,2025-11-30 23:59:59.999,CRVUSDT,1w
1764547200000,0.4148,0.4316,0.3707,0.3819,173668512.9,1765151999999,68791852.83524,524220,85562659.3,33894250.04032,0,2025-12-01,2025-12-07 23:59:59.999,CRVUSDT,1w
1765152000000,0.3818,0.4303,0.3702,0.3753,103057282.7,1765756799999,40961421.41137,413821,50436582.6,20059534.69485,0,2025-12-08,2025-12-14 23:59:59.999,CRVUSDT,1w
1765756800000,0.3752,0.3867,0.3316,0.3496,143803272.3,1766361599999,50955205.97449,412205,70437355.8,24963237.04058,0,2025-12-15,2025-12-21 23:59:59.999,CRVUSDT,1w
1766361600000,0.3497,0.4058,0.3454,0.3923,115964093.3,1766966399999,44168621.56548,339027,57666125.4,21952309.78989,0,2025-12-22,2025-12-28 23:59:59.999,CRVUSDT,1w
1766966400000,0.3922,0.4352,0.3578,0.4271,99101798.7,1767571199999,39218110.46683,338202,49431968.9,19588165.77908,0,2025-12-29,2026-01-04 23:59:59.999,CRVUSDT,1w
1767571200000,0.427,0.439,0.393,0.401,109889063.4,1768175999999,45868632.98665,443930,57702263.9,24100902.75426,0,2026-01-05,2026-01-11 23:59:59.999,CRVUSDT,1w
