symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,openTime_dt,closeTime_dt
BTTBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
TOMOBUSD,0.00240000,0.135,1.80759249,0.00000000,1.78070000,13.20000000,0.00000000,0.00000000,0.00000000,0.00000000,1.77830000,1.91480000,1.71640000,153355.80000000,277204.79229000,1774248208591,1774334608591,4127603,4131602,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XMRBUSD,-0.20000000,-0.117,170.90150592,0.00000000,170.20000000,0.15100000,0.00000000,0.00000000,0.00000000,0.00000000,170.40000000,173.40000000,167.70000000,5823.13900000,995183.22430000,1774248208591,1774334608591,6838866,6842865,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ZECBUSD,-1.82000000,-6.662,25.97365948,0.00000000,25.50000000,71.56700000,0.00000000,0.00000000,0.00000000,0.00000000,27.32000000,27.80000000,24.37000000,26721.65800000,694059.24570000,1774248208591,1774334608591,8679126,8683125,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNBBULLUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNBBULLBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNBBEARUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNBBEARBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STPTBNB,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STPTBTC,-0.00000010,-12.987,0.00000070,0.00000000,0.00000067,42491.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000077,0.00000079,0.00000064,8235675.00000000,5.77044667,1774248208591,1774334608591,5459644,5463643,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STPTUSDT,0.00152000,2.206,0.07082947,0.00000000,0.07042000,407.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06890000,0.07455000,0.06836000,6539537.40000000,463191.94258800,1774248208591,1774334608591,58274862,58278862,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BTCZAR,-33805.00000000,-2.196,1477657.30683238,0.00000000,1505613.00000000,0.00123000,0.00000000,0.00000000,0.00000000,0.00000000,1539418.00000000,1577000.00000000,800000.00000000,1.37668000,2034261.26117000,1774248208591,1774334608591,2160179,2164178,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ETHZAR,-23213.00000000,-30.985,56058.76333390,0.00000000,51704.00000000,0.23180000,0.00000000,0.00000000,0.00000000,0.00000000,74917.00000000,81426.00000000,27724.00000000,220.50940000,12361484.26750000,1774248208591,1774334608591,410274,414273,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BNBZAR,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
USDTZAR,0.10000000,0.590,16.90650455,16.96000000,17.05000000,411.00000000,17.04000000,1430.00000000,17.05000000,8130.00000000,16.95000000,17.11000000,16.75000000,1239685.00000000,20958740.09000000,1775030392047,1775116792047,5924335,5940875,16541,2026-04-01 07:59:52.047,2026-04-02 07:59:52.047
BUSDZAR,-0.53000000,-2.735,19.04617430,0.00000000,18.85000000,15.00000000,0.00000000,0.00000000,0.00000000,0.00000000,19.38000000,19.42000000,18.48000000,892088.00000000,16990863.54000000,1774248208591,1774334608591,421354,425353,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
