symbol,bidPrice,bidQty,askPrice,askQty
IOTXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
PHAUSDT,0.03800000,13224.00000000,0.03810000,18760.00000000
SOLRUB,0.00000000,0.00000000,0.00000000,0.00000000
RUNEAUD,0.00000000,0.00000000,0.00000000,0.00000000
BUSDUAH,0.00000000,0.00000000,0.00000000,0.00000000
BONDBTC,0.00000000,0.00000000,0.00000000,0.00000000
BONDBNB,0.00000000,0.00000000,0.00000000,0.00000000
BONDBUSD,0.00000000,0.00000000,0.00000000,0.00000000
BONDUSDT,0.00000000,0.00000000,0.00000000,0.00000000
MLNBTC,0.00000000,0.00000000,0.00000000,0.00000000
MLNBNB,0.00000000,0.00000000,0.00000000,0.00000000
MLNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
MLNUSDT,3.38000000,211.66500000,3.39000000,469.19200000
GRTTRY,1.06000000,28975.00000000,1.06100000,41745.00000000
CAKEBRL,0.00000000,0.00000000,0.00000000,0.00000000
ICPRUB,0.00000000,0.00000000,0.00000000,0.00000000
DOTAUD,0.00000000,0.00000000,0.00000000,0.00000000
AAVEBRL,0.00000000,0.00000000,0.00000000,0.00000000
EOSAUD,0.00000000,0.00000000,0.00000000,0.00000000
DEXEUSDT,8.10500000,7.66000000,8.10900000,1.24000000
LTOBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ADXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
QUICKBTC,0.00000000,0.00000000,0.00000000,0.00000000
QUICKBNB,0.00000000,0.00000000,0.00000000,0.00000000
QUICKBUSD,0.00000000,0.00000000,0.00000000,0.00000000
C98USDT,0.02470000,161533.20000000,0.02480000,15498.10000000
C98BUSD,0.00000000,0.00000000,0.00000000,0.00000000
C98BNB,0.00000000,0.00000000,0.00000000,0.00000000
C98BTC,0.00000000,0.00000000,0.00000000,0.00000000
CLVBTC,0.00000000,0.00000000,0.00000000,0.00000000
CLVBNB,0.00000000,0.00000000,0.00000000,0.00000000
CLVBUSD,0.00000000,0.00000000,0.00000000,0.00000000
CLVUSDT,0.00000000,0.00000000,0.00000000,0.00000000
QNTBTC,0.00105550,1.15100000,0.00105920,1.15100000
QNTBNB,0.00000000,0.00000000,0.00000000,0.00000000
QNTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
QNTUSDT,70.74000000,1.69600000,70.79000000,0.14200000
FLOWBTC,0.00000000,0.00000000,0.00000000,0.00000000
